,word,count,w_s_sum
561,收缩,5,1035
562,漫画,5,3813
563,搞怪,5,2026
564,企业,5,86
565,防滑,5,662
566,伞布,5,35
567,伞三人,5,433
568,睛,5,357
569,架,5,1129
570,传统,5,72
571,十字,5,105
572,梵高,5,695
573,中小学生,5,260
574,伞架,5,2654
575,胶布,5,314
576,雨具,5,3807
577,防尘,5,1906
578,韩,5,389
579,女森系,5,265
580,军工,5,12527
581,金,5,51
582,宫崎骏,5,476
583,蝴蝶,5,198
584,春色,5,63
585,钢杆,5,364
586,图,5,17
587,男小,5,10204
588,反转,5,43
589,庭院,4,154
590,兔,4,115
591,创优,4,1619
592,鸟笼,4,156
593,接待,4,17
594,名,4,1619
595,米奇,4,140
596,水果,4,29
597,品,4,1619
598,19,4,15
599,扁,4,437
600,双三人,4,446
601,荧光,4,10
602,柠檬,4,98
603,降温,4,13
604,美国,4,1314
605,薇,4,21
606,边长,4,56
607,蚂蚁,4,398
608,机,4,142
609,十二,4,473
610,RY,4,2885
611,RAIN,4,2885
612,彩,4,36
613,花瓣,4,71
614,NR,4,1015
615,心晴雨,4,32
616,神,4,2243
617,添福,4,24
618,雨衣,4,3166
619,恶魔,4,102
620,挡风,4,19590
621,三人用,4,11
622,伴娘,4,39
623,大黑,4,49
624,CURMAN,4,5
625,潮,4,592
626,零时,4,5108
627,生日礼物,4,99
628,维雅莉,4,2771
629,冉竹,4,10
630,300T,4,40
631,joyheart,4,344
632,NX,4,2731
633,手,4,2308
634,直伞,4,214
635,袋机,4,142
636,金属,4,225
637,差,4,5108
638,老人,4,208
639,结实,4,32
640,立方,4,36
641,浪漫,4,334
642,爱斯曼,4,2748
643,鸭,4,2563
644,肯,4,436
645,5.11,4,132
646,日,4,1227
647,皮质,4,321
648,骨超,4,1703
649,宝塔,4,24
650,lotosblume,4,422
651,专用,4,843
652,树叶,4,937
653,耐用,4,150
654,西瓜,4,45
655,规格,4,92
656,男双,4,13092
657,抖音,4,2904
658,],4,63
659,银丝,4,24
660,配色,4,92
661,熊本,4,136
662,两折,4,48
663,[,4,63
664,宫日系,4,61
665,北欧,4,844
666,钓鱼,4,98
667,雨程,4,42
668,托马斯,4,1143
669,内,4,1326
670,周边,4,58
671,kitty,4,305
672,水,4,95
673,落地,4,830
674,开,4,13
675,广告礼品,4,66
676,风格,4,20
677,青年,4,1366
678,官方,4,823
679,小宝宝,4,712
680,MINISO,4,1619
681,慕妮,4,21
682,3D,4,108
683,原品,3,11
684,装饰,3,36
685,圆萌,3,71
686,女用,3,16
687,帆布,3,1314
688,长杆,3,7
689,蓝胶,3,3
690,女三人,3,2091
691,台湾,3,178
692,沐枫,3,1861
693,心伞,3,2676
694,打孔,3,4027
695,零,3,395
696,欧型,3,340
697,强效,3,15
698,女式,3,14
699,GZG,3,158
700,梨花,3,50
701,ok,3,17
702,涂层,3,308
703,凡羔,3,28
704,超小,3,30
705,ulzzang,3,274
706,易,3,3072
707,孩子,3,2627
708,寸彩纤,3,33
709,双头,3,77
710,钢骨伞,3,43
711,多色,3,31
712,Fasola,3,71
713,潮伞,3,1204
714,IN,3,32
715,小猫咪,3,445
716,自拍,3,2
717,下,3,99
718,沐彩,3,3445
719,911,3,6230
720,0,3,11
721,樱桃,3,69
722,洁莱雅,3,61
723,竹,3,211
724,胶,3,1
725,座,3,938
726,392E,3,1
727,马卡龙,3,95
728,Kitty,3,1566
729,339,3,54
730,版小,3,835
731,系,3,29
732,宝骧,3,44
733,猫头鹰,3,9
734,骨伞,3,28
735,SWIFT,3,16
736,粘钩,3,4027
737,蓝天白云,3,125
738,小弯,3,299
739,立体,3,203
740,叶子,3,142
741,酒瓶,3,301
742,轻量,3,7
743,大型,3,24
744,桌盖,3,1036
745,休闲,3,303
746,百合花,3,75
747,电动车,3,19589
748,米,3,57
749,骨大号,3,2188
750,镂空,3,50
751,屋,3,101
752,防暴,3,59
753,钢,3,50
754,潮人,3,1203
755,粘胶,3,4027
756,品质,3,74
757,随机,3,3434
758,伞直,3,1502
759,小鹿,3,57
760,颜色,3,3434
761,myfun,3,1861
762,娃娃,3,108
763,轻型,3,10
764,千鸟,3,188
765,蓬,3,19589
766,中式,3,75
767,伞银胶,3,67
768,强劲,3,47
769,A,3,23
770,内层,3,13
771,超薄,3,1432
772,Hello,3,1566
773,造型,3,69
774,古代,3,43
775,笑脸,3,16
776,置物,3,835
777,狮妮,3,5
778,渐变,3,61
779,网易,3,999
780,丝印,3,9
781,伞森系,3,26
782,后备箱,3,1453
783,印制,3,29
784,3309E,3,19
785,花伞,3,63
786,伞日系,3,89
787,HelloKitty,3,145
788,甜美,3,6
789,香蕉,3,43
790,俊希,3,9258
791,hello,3,148
792,亮片,3,9
793,萌系,3,44
794,弯勾,3,502
795,收大号,3,286
796,大小,3,4814
797,特大号,3,117
798,制订,3,8
799,雨伞套,3,203
800,金线,3,43
801,骨三,3,49
802,3311e,3,28
803,蒂,3,5
